X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8523184,1.283437607,6210,KOSTER COMPANY LTD.,柯斯達有限公司,Collyer Quay,10,General Merchants,80637,"""RETSOK""",1939,"$50,000",Directors: L. J. Koster,,,,466,
103.8523184,1.283437607,7662,LYON WATCH REPAIRER,勵文鐘錶,Collyer Quay,10,Watch Makers,NA,NA,1945,NA,Lum Poi Mun,林沛文,,,578,
103.8523184,1.283437607,7801,MALAYAN COMMERCE & INDUSTRIES LTD.,馬來亞工商有限公司,Collyer Quay,10,"General Merchants, Importers and Exporters",83653,“MACOMIND.”,1946,"$50,000",Directors: Leong Kim Fook,,,,592,
103.8523184,1.283437607,8452,MOLLERS' (MALAYA) LTD.,摩力有限公司,Collyer Quay,10,"Shipowners, General Shipping Agents",80181 & 82277,NA,1941,"$10,000",Directors: Bruce St. Clair MacKenzie,,,,642,
103.8523184,1.283437607,8960,"NATIONAL INSURANCE CO., LTD.",國民保險公司,Collyer Quay,10,Insurance Etc,82906,NA,1906,Rs. 10000000,Local Rep: Sir Arnold Percy Robinson,,,Inc. In India,686,
103.8523184,1.283437607,9829,RAFFLES STORE,萊佛士商店,Collyer Quay,10,Embroideries Dealers,NA,NA,1946,NA,Tan Thong Ngee,陳統儀,,,755,
103.8523184,1.283437607,10116,SAN TRADERS,三貿易公司,Collyer Quay,10,Import and Export Merchants. and Commission Agents,NA,NA,1948,NA,Santhapillai Thamansamy S/O Arulanram Pillai,,,,789,
103.8523184,1.283437607,5485,KEE PHOTO STORE,啓攝影社,"Collyer Quay, Raffles Bazaan, Stall No. 1",10,Cameras and Films Dealers,NA,NA,1945,NA,Tong Phang Kee,黃鵬基,,,413,
103.8523585,1.283536606,5071,"ISLAY KERR & CO., LTD.",伊士力卡公司,Collyer Quay,11-A,"Shipping Agents, etc.",5455,“BISON”,1923,"$500,000",H. J. Payne,,,Agents: P. & O. S. N. Co.,,
"B. I. S. N. Co. Ltd.""",374,103.8526797,1.28356759,,Collyer Quay Union Winchester,/Users/qiaozhang/Desktop/sg old shops/gis/data/points/ABC/Collyer Quay Union Winchester.shp,,,,,,,,,,,
