NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,X,Y
"13528",WAH ANN TRADING CO.,華安贸易公司,Boat Quay,"31","Importers and Exporters, Commission Agents",NA,NA,"1946",NA,Kho Siew Bin,许受敏,,,"1070",103.851250600000000,1.285635917000000
"5813",CHOP KIAN YONG,建榮號,Boat Quay,"32",Rubber and General Merchants,"4911",NA,"1938",NA,Tan Joo Siang,陳愈湘,,,"437",103.851250600000000,1.285635917000000
"8824",NAM TYE & CO.,南大公司,Boat Quay,"34",Importer & Exporter and General Commission Agents,"2741",NA,"1946",NA,Lee Chye Wu,李采五,,,"675",103.851250600000000,1.285635917000000
"7348",LIM GUAN SENG & CO.,林源成公司,Boat Quay,"35",Rubber Dealers,"4240",NA,"1941",NA,Lim Seng Chew,林成樹,,,"555",103.851250600000000,1.285635917000000
"12077",TAI KWONG,大光號,Boat Quay,36-37,Eating House,NA,NA,"1941",NA,Su Yee Kee,徐依氣,,,"948",103.851250600000000,1.285635917000000
"5800",KIAN SENG TRADING CO.,建成貿易公司,Boat Quay,"39","Importers, Exporters, Commission Agents and Shipping Agents","2374","""2374""","1946",NA,Teo Yat Bin,張逸民,,,"436",103.851250600000000,1.285635917000000
"11005",SIN MIN & CO.,新民公司,Boat Quay,"39","Importers, Exporters and Commission Agents",NA,NA,NA,NA,Poh Ee Chai,傅維彩,,,"858",103.851250600000000,1.285635917000000
"3702",HAK HENG SIANG & CO.,合興祥公司,Boat Quay,"40",Exporters and Commission Agents,"82558",NA,"1946",NA,Chan Gian Boey,曾仰梅,,,"274",103.851250600000000,1.285635917000000
"8508",CHOP MUI HENG,美興號,Boat Quay,"40",Rice Retailers,NA,NA,"1938",NA,Teo Peng Yong,張炳榮,,,"647",103.851250600000000,1.285635917000000
"12558",TECK YEW SENG,德有成,Boat Quay (1st Floor),"40","Importers, Exporters and Commission Agents",NA,NA,"1948",NA,Sim Mong Siew,沈茂綬,,,"985",103.851250600000000,1.285635917000000
"4698",HUAT HENG CO.,發興公司,Boat Quay,"42","Importer, Exporter and Commission Agents","2507",NA,"1947",NA,Ng Ker Siang,黃居善,,,"346",103.851250600000000,1.285635917000000
